Basal_SC,Her2E_SC,LumA_SC,LumB_SC
EMP1,PSMA2,SH3BGRL,UGCG
TAGLN,PPP1R1B,HSPB1,ARMT1
TTYH1,SYNGR2,PHGR1,ISOC1
RTN4,CNPY2,SOX9,GDF15
TK1,LGALS7B,CEBPD,ZFP36
BUB3,CYBA,CITED2,PSMC5
IGLV3.25,FTH1,TM4SF1,DDX5
FAM3C,MSL1,S100P,TMEM150C
TMEM123,IGKV3.15,KCNK6,NBEAL1
KDM5B,STARD3,AGR3,CLEC3A
KRT14,HPD,MPC2,GADD45G
ALG3,HMGCS2,CXCL13,MARCKS
KLK6,ID3,RNASET2,FHL2
EEF2,NDUFB8,DDIT4,CCDC117
NSMCE4A,COTL1,SCUBE2,LY6E
LYST,AIM1,KRT8,GJA1
DEDD,MED24,MZT2B,PSAP
HLA.DRA,CEACAM6,IFI6,TAF7
PAPOLA,FABP7,RPS26,PIP
SOX4,CRABP2,TAGLN2,HSPA2
ACTR3B,NR4A2,SPTSSA,DSCAM.AS1
EIF3D,COX14,ZFP36L1,PSMB7
CACYBP,ACADM,MGP,STARD10
RARRES1,PKM,KDELR2,ATF3
STRA13,ECH1,PPDPF,WBP11
MFGE8,C17orf89,AZGP1,MALAT1
FRZB,NGRN,AP000769.1,C6orf48
SDHD,ATG5,MYBPC1,HLA.DRB1
UCHL1,SNHG25,S100A1,HIST1H2BD
TMEM176A,ETFB,TFPI2,CCND1
CAV2,EGLN3,JUN,STC2
MARCO,CSNK2B,SLC25A6,NR4A1
P4HB,RHOC,HSP90AB1,NPY1R
CHI3L2,PSENEN,ARF5,FOS
APOE,CDK12,PMAIP1,ZFAND2A
ATP1B1,ATP5I,TNFRSF12A,CFL1
C6orf15,ENTHD2,FXYD3,RHOB
KRT6B,QRSL1,RASD1,LMNA
TAF1D,S100A7,PYCARD,SLC40A1
ACTA2,TPM1,PYDC1,CYB5A
LY6D,ATP5C1,PHLDA2,SRSF5
SAA2,HIST1H1E,BZW2,SEC61G
CYP27A1,LGALS1,HOXA9,CTSD
DLK1,GRB7,XBP1,DNAJC12
IGKV1.5,AQP3,AGR2,IFITM1
CENPW,ALDH2,HSP90AA1,MAGED2
RAB18,EIF3E,,RBP1
TNFRSF11B,ERBB2,,TFF1
VPS28,LCN2,,APLP2
HULC,SLC38A10,,TFF3
KRT16,TXN,,TRH
CDKN2A,DBI,,NUPR1
AHNAK2,RP11.206M11.7,,EMC3
SEC22B,TUBB,,TXNIP
CDC42EP1,CRYAB,,ARPC4
HMGA1,CD9,,KCNE4
CAV1,PDSS2,,ANPEP
BAMBI,XIST,,MGST1
TOMM22,MED1,,TOB1
ATP6V0E2,C6orf203,,ADIRF
MTCH2,PSMD3,,TUBA1B
PRSS21,TMC5,,MYEOV2
HDAC2,UQCRQ,,MLLT4
ZG16B,EFHD1,,DHRS2
GAL,BCAM,,IFITM2
SCGB1D2,GPX1,,
S100A2,EPHX1,,
GSPT1,AREG,,
ARPC1B,CDK2AP2,,
NIT1,SPINK8,,
NEAT1,PGAP3,,
DSC2,NFIC,,
RP1.60O19.1,THRSP,,
MAL2,LDHB,,
TMEM176B,MT1X,,
CYP1B1,HIST1H4C,,
EIF3L,LRRC26,,
FKBP4,SLC16A3,,
WFDC2,BACE2,,
SAA1,MIEN1,,
CXCL17,AR,,
PFDN2,CRIP2,,
UCP2,NME1,,
RAB11B,DEGS2,,
FDCSP,CASC3,,
HLA.DPB1,FOLR1,,
PCSK1N,SIVA1,,
C4orf48,SLC25A39,,
CTSC,IGHG1,,
,ORMDL3,,
,KRT81,,
,SCGB2B2,,
,LINC01285,,
,CXCL8,,
,KRT15,,
,RSU1,,
,ZFP36L2,,
,DKK1,,
,TMED10,,
,IRX3,,
,S100A9,,
,YWHAZ,,
