"GENE_FREQUENCY"	"TOTAL_NUMBER_OF_SIGNATURES_IN_CLUSTER"	"GENE_PROPORTION"	"gene"	"cluster"	"NUMBER_OF_TUMOURS"
89	148	0.601351351351351	"ATF3"	1	18
89	148	0.601351351351351	"JUN"	1	17
80	148	0.540540540540541	"NR4A1"	1	17
80	148	0.540540540540541	"IER2"	1	16
76	148	0.513513513513513	"DUSP1"	1	16
76	148	0.513513513513513	"ZFP36"	1	15
76	148	0.513513513513513	"JUNB"	1	15
75	148	0.506756756756757	"FOS"	1	15
74	148	0.5	"FOSB"	1	16
72	148	0.486486486486487	"PPP1R15A"	1	16
71	148	0.47972972972973	"KLF6"	1	17
70	148	0.472972972972973	"DNAJB1"	1	14
68	148	0.459459459459459	"EGR1"	1	18
68	148	0.459459459459459	"BTG2"	1	13
60	148	0.405405405405405	"HSPA1B"	1	14
59	148	0.398648648648649	"HSPA1A"	1	12
58	148	0.391891891891892	"RHOB"	1	14
56	148	0.378378378378378	"CLDN4"	1	16
56	148	0.378378378378378	"MAFF"	1	15
56	148	0.378378378378378	"GADD45B"	1	14
55	148	0.371621621621622	"IRF1"	1	15
55	148	0.371621621621622	"EFNA1"	1	13
54	148	0.364864864864865	"SERTAD1"	1	12
53	148	0.358108108108108	"TSC22D1"	1	11
52	148	0.351351351351351	"CEBPD"	1	14
51	148	0.344594594594595	"CCNL1"	1	16
51	148	0.344594594594595	"TRIB1"	1	14
50	148	0.337837837837838	"MYC"	1	15
49	148	0.331081081081081	"ELF3"	1	13
49	148	0.331081081081081	"LMNA"	1	12
48	148	0.324324324324324	"NFKBIA"	1	14
47	148	0.317567567567568	"TOB1"	1	11
46	148	0.310810810810811	"HSPB1"	1	14
46	148	0.310810810810811	"BRD2"	1	12
45	148	0.304054054054054	"MCL1"	1	14
44	148	0.297297297297297	"PNRC1"	1	12
43	148	0.290540540540541	"IER3"	1	15
43	148	0.290540540540541	"KLF4"	1	13
43	148	0.290540540540541	"ZFP36L2"	1	13
42	148	0.283783783783784	"SAT1"	1	11
41	148	0.277027027027027	"ZFP36L1"	1	15
41	148	0.277027027027027	"DNAJB4"	1	11
40	148	0.27027027027027	"PHLDA2"	1	13
40	148	0.27027027027027	"NEAT1"	1	12
40	148	0.27027027027027	"MAP3K8"	1	11
39	148	0.263513513513513	"GPRC5A"	1	11
39	148	0.263513513513513	"RASD1"	1	9
38	148	0.256756756756757	"NFKBIZ"	1	15
38	148	0.256756756756757	"CTD-3252C9.4"	1	11
38	148	0.256756756756757	"BAMBI"	1	10
38	148	0.256756756756757	"RND1"	1	10
37	148	0.25	"HES1"	1	14
37	148	0.25	"PIM3"	1	12
37	148	0.25	"SQSTM1"	1	11
37	148	0.25	"HSPH1"	1	8
36	148	0.243243243243243	"ZFAND5"	1	13
35	148	0.236486486486486	"AREG"	1	11
35	148	0.236486486486486	"CD55"	1	10
35	148	0.236486486486486	"CDKN1A"	1	10
35	148	0.236486486486486	"UBC"	1	9
34	148	0.22972972972973	"CLDN3"	1	12
34	148	0.22972972972973	"DDIT3"	1	9
33	148	0.222972972972973	"BHLHE40"	1	12
33	148	0.222972972972973	"BTG1"	1	12
33	148	0.222972972972973	"ANKRD37"	1	10
33	148	0.222972972972973	"SOCS3"	1	10
33	148	0.222972972972973	"NAMPT"	1	10
32	148	0.216216216216216	"SOX4"	1	13
32	148	0.216216216216216	"LDLR"	1	11
32	148	0.216216216216216	"TIPARP"	1	8
31	148	0.209459459459459	"TM4SF1"	1	11
31	148	0.209459459459459	"CSRNP1"	1	11
31	148	0.209459459459459	"GDF15"	1	9
31	148	0.209459459459459	"ZFAND2A"	1	7
